vga,(无列名)
AMD Radeon HD 8330,3
NVIDIA GeForce GTX 1660 6G,3
Radeon(TM) RX 470 Graphics,3
NVIDIA Quadro M4000,3
AMD Radeon HD 6770,3
AMD Radeon R7 Series / HD 9000 Series,3
NVIDIA GeForce 320M    ,3
NVIDIA GeForce GTX 2080s,3
Radeon(TM) 540 Graphics,3
spacedesk Graphics Adapter,3
ASUS R7 250X Series,3
ATI Mobility Radeon HD 5430,3
AMD Radeon R5 Graphics,3
AMD FirePro V3900 (ATI FireGL),3
AMD Firepro W4190M,3
AMD Radeon (TM) R9 255,3
NVIDIA Quadro K1100M,3
ASUS R9 380 Series,3
AMD Radeon (TM) R9 360,3
NVIDIA Quadro K6000,3
NVIDIA MCP61  ,2
NVIDIA GeForce RTX 1070 8G,2
AMD Radeon HD 7640G,2
AMD Radeon (TM) RX 570,2
AMD Radeon R7 Graphics + HD 7700 Dual Graphics,2
ATI Radeon 3000 Graphics (Engineering Sample - WDDM v1.1),2
NVIDIA GeForce GTX 780M        ,2
NVIDIA GeForce RTX 1070,2
AMD Radeon (TM) R9 M375,2
AMD Radeon HD 8350,2
AMD Radeon HD 6370M,2
AMD Radeon RX590 GME~RX 580 2048SP,2
AMD Radeon(TM) Vega 3 Mobile Graphics,2
ASUS HD 7350,2
NVIDIA GeForce GTX 1080 with Max-Q Design,2
NVIDIA GeForce GTX 2060S 6GB,2
Intel(R) UHD Graphics 615,2
Display,2
AMD Radeon(TM) RX540~Radeon RX 550,2
AMD Radeon HD 8550A Graphics,2
NVIDIA GeForce GTX 1070 with Max-Q Design,2
NVIDIA GeForce GTX 750Ti,2
NVIDIA GeForce RTX 1060 6GB,2
NVIDIA GeForce 800A    ,2
NVIDIA Quadro K4000 ,2
RTX 3060i,2
NVIDIA TITAN X (Pascal),2
AMD Radeon HD 7450M,2
AMD Radeon HD 8200 / R3 Series,2
Radeon (TM) HD 8670M,2
Radeon RX 550,2
NVIDIA Quadro 4000,2
NVIDIA NVS 5200M,2
NVIDIA GeForce GTX 760M,2
AMD Radeon HD 7600M Series,2
Intel(R) HD Graphics P530,2
Radeon (TM) R5 M420,2
AMD Radeon R5 M315,2
AMD Radeon R7 450,2
AMD Radeon Pro WX 2100,2
Intel(R) Q45/Q43 Express Chipset (Microsoft Corporation - WDDM 1.1),2
NVIDIA GeForce GT 555M ,2
NVIDIA GeForce 8400M GS  ,2
Radeon RX 560X Series,2
Radeon RX480,2
Radeon RX580 2048SP,2
NVIDIA Quadro K2100M,2
NVIDIA Quadro K4100M,2
NVIDIA GRID P4-4Q,2
NVIDIA GeForce GTX 1660S 6GB,2
ATI Mobility Radeon HD 5000 Series,2
NVIDIA GeForce 910M ,2
NVIDIA GeForce 9400 GT (Microsoft Corporation - WDDM v1.1),2
Mobile Intel(R) 965 Express Chipset Family (Microsoft Corporation - WDDM 1.1),1
ATI Radeon HD 2400 XT,1
ATI Radeon HD 4800 Series  (Microsoft Corporation WDDM 1.1) ,1
ATI Radeon HD 5450 Series,1
AMD Radeon HD 7660G + HD 7500M/7600M Dual Graphics,1
AMD Radeon HD 8570,1
AMD Radeon HD 8470,1
AMD Radeon R9 370 1024SP,1
AMD RADEON R9 M290X,1
AMD Radeon R9 M370X,1
AMD Radeon HD 8650G + HD 8750M Dual Graphics,1
NVIDIA GeForce RTX 2080Ti,1
NVIDIA Quadro FX 2700M,1
NVIDIA GeForce RTX3070 12G,1
ATI Mobility Radeon HD 5730,1
AMD Radeon R9 200 Series~(TM) R9 380 Series,1
ATI Mobility Radeon HD 4300 Series (Microsoft Corporation WDDM 1.1) ,1
AMD Radeon(TM) R5 340X,1
AMD Radeon(TM) R5 M320,1
AMD Radeon (TM) R9 370X,1
Radeon (TM) HD 7450M,1
NVIDIA Quadro K600,1
